datetime,open,high,low,close,volume
2025-01-28,230.85001,240.19000,230.81000,238.25999,75707600
2025-01-29,234.12000,239.86000,234.0099945,239.36000,45486100
2025-01-30,238.67000,240.78999,237.21001,237.59000,55658300
2025-01-31,247.19000,247.19000,233.44000,236,101075100
2025-02-03,229.99001,231.83000,225.70000,228.0099945,73063300
2025-02-04,227.25,233.13000,226.64999,232.80000,45067300
2025-02-05,228.53000,232.67000,228.27000,232.47000,39620300
2025-02-06,231.28999,233.80000,230.42999,233.22000,29925300
2025-02-07,232.60001,234,227.25999,227.63000,39707200
2025-02-10,229.57001,230.59000,227.20000,227.64999,33115600
2025-02-11,228.20000,235.23000,228.13000,232.62000,53718400
2025-02-12,231.20000,236.96001,230.67999,236.87000,45243300
2025-02-13,236.91000,242.34000,235.57001,241.53000,53614100
2025-02-14,241.25,245.55000,240.99001,244.60001,40896200
2025-02-18,244.14999,245.17999,241.84000,244.47000,48822500
2025-02-19,244.66000,246.0099945,243.16000,244.87000,32204200
2025-02-20,244.94000,246.78000,244.28999,245.83000,32316900
2025-02-21,245.95000,248.69000,245.22000,245.55000,53197400
2025-02-24,244.92999,248.86000,244.42000,247.10001,51326400
2025-02-25,248,250,244.91000,247.039993,48013300
2025-02-26,244.33000,244.98000,239.13000,240.36000,44433600
2025-02-27,239.41000,242.46001,237.059998,237.30000,41153600
2025-02-28,236.95000,242.089996,230.20000,241.84000,56833400
2025-03-03,241.78999,244.029999,236.11000,238.029999,47184000
2025-03-04,237.71001,240.070007,234.67999,235.92999,53798100
2025-03-05,235.42000,236.55000,229.23000,235.74001,47227600
2025-03-06,234.44000,237.86000,233.16000,235.33000,45170400
2025-03-07,235.11000,241.37000,234.75999,239.070007,46273600
2025-03-10,235.53999,236.16000,224.22000,227.48000,71880000
2025-03-11,223.81,225.825,217.42,220.91,15800877
